name,category,country,registration
A Lexicial Index of Electoral Democracy,democracy,,no
Abortion Law Database,policy,,no
ACLP Political and Economic Database,political institutions,,no
Administrative Capacities,governance,,no
Afrobarometer,citizens,,no
"Age, gender and profession of parliamentarians",parties and politicians,,no
AidData,international relations,,no
Alliance Treaty Obligations and Provisions,international relations,,no
American National Election Studies,citizens,USA,yes
American Trends Panel Datasets,citizens,USA,yes
Americas Barometer,citizens,,no
An Automated Database of the European Parliament,political elites,,password
Anti-Refugee Violence and Social Unrest in Germany,other,Germany,no
Arab Barometer,citizens,,"no, online form"
Archigos: A Data Base on Leaders 1875-2004,political elites,world,no
Armed Conflict Location & Event Data Project,international relations,Africa,no
Asian Barometer,citizens,Asia,application
Australian Candidate Study,political elites,Australia,no
Australian Constitutional Referendum Study,citizens,Australia,no
Australian Election Studies: Voter Studies,citizens,Australia,no
Australian National Political Attitudes Surveys,citizens,Australia,no
Austrian National Election Study,citizens,Austria,"free, registration"
Authoritarian Regimes Dataset,democracy,,"free, online"
Autocracies of the World,democracy,,no
Autocratic Regime Data,democracy,world,"free, no registration"
Barro-Ursua Macroeconomic Data,economics,,no
Basic data on parliaments,cabinets and parliaments,,"free, online"
Bilateral Labor Agreements Dataset,policy,,no
"Boix-Miller-Rosato (BMR) dichotomous coding of democracy, 1800-2010",democracy,,
British Election Study,citizens,Britain,
British Household Panel Survey,citizens,,
British Social Attitudes,citizens,Britain,
Bundestag Roll Call Vote Data,parties and politicians,Germany,no
Cabinets and Coalition Bargaining,cabinets and parliaments,,"free, online"
Campaign Finance Law Across the Nation,other,USA,no
Canadian Election Study,citizens,Canada,"free, online"
Caucasus Barometer,citizens,Caucasus,
Chance-Corrected Measures of Foreign Policy Similarity,international relations,world,"free, no registration"
Change in Source of Leader Support,international relations,world,"free, no registration"
Chapel Hill Expert Survey,parties and politicians,,
Chinese General Social Survey,citizens,China,yes
Chinn-Ito Index,economics,,no
Civil Liberty Dataset,democracy,world,"free, no registration"
Coalition Governments in Western Europe,cabinets and parliaments,,"free, online"
Commissioners of the European Union,parties and politicians,,no
Comparative Agendas Project,parties and politicians,,
Comparative Agendas Project: Media,media,"Belgium, Hungary, Spain, State of Pennsylvania, Switzerland, United Kingdom, United States",
Comparative Agendas Project: Public Opinion & Interest Groups,citizens,"Hungary, Switzerland, United Kingdom, United States",
Comparative Candidates Survey,political elites,,yes
Comparative Constitutions Project,constitutions,,
"Comparative dataset on socio-cultural, political and legal indicators",other,,no
Comparative Income Taxation Database,economics,,no
Comparative Independent Fiscal Institutions,economics,,no
Comparative Parties Data Set,parties and politicians,,
Comparative Political Data Set,political institutions,,no
Comparative Study of Electoral Systems,citizens,,yes
Comparative Welfare Entitlements Dataset,policy,,
Comparative Welfare States Data Set,policy,,free
Conflict Catalog,international relations,,no
Constituency-Level Elections Archive,elections,,no
Constitutional Court of Turkey Justice Decisions Dataset,constitutions,Turkey,"free, no registration"
Cooperative Congressional Election Study,citizens,USA,"free, no registration"
Correlates of State Policy,policy,USA,"free, no registration"
Correlates of War,international relations,,no
Corruption Perceptions Index,governance,,"free, online"
Counter Trafficking Data Collaborative,international relations,world,"free, no registration"
